Comment,Designator,Footprint,LCSC Part #
,JP1,1X03,
,DISPLAY,1X04,
,JP2,1X04/90,
,ST_LINK,1X04/90,
,BATTERIE1,6410-02,
,BATTERIE2,6410-02,
,MOTOR,6410-02,
,LED3,CHIP-LED0805,
,LED4,CHIP-LED0805,
,LED5,CHIP-LED0805,
,LED6,CHIP-LED0805,
,LED1,CHIPLED_0805,C2297
,LED2,CHIPLED_0805,C84256
,POWER_LED,CHIPLED_0805,C2297
,RED_LED,CHIPLED_0805,C84256
,D2,DIO_TESD5V0L1UC_RJG,C7420372
,D3,DIO_TESD5V0L1UC_RJG,C7420372
,D4,DIO_TESD5V0L1UC_RJG,C7420372
,H-BRUECKE,HRP7_ROM-M,
,LED_LEFT,LEDRD254W50D500H1060,
,LED_MIDDLE,LEDRD254W50D500H1060,
,LED_RIGHT,LEDRD254W50D500H1060,
,D1,SOD323-R,C2128
,SCHOTTKY1,SOD323-R,C191023
,OPV,SOIC127P600X175-14N,C71035
,T1,SOT23-EBC,C364312
,BOOT,SW_TS-1187A-B-A-B,C318884
,RESET,SW_TS-1187A-B-A-B,C318884
,ON/OFF,TL3XPO,
0,R15 R17 R18,R0805,
1.5u,L1,IND_XFL4020-152MEC,C3033018
1M,R9 R10 R12 R37,R0805,
1N4004,D8 D9,DO41-10,
1k5,R13,R0805,
2k2,R6,R0805,
6k8,R19,R0805,
8MHz,Y1,CRYSTAL_2-SMD-5X3,C115962
10k,R2 R3 R8 R27 R28 R29 R33 R34 R35 R36 RENABLE,R0805,
10n,C6 C7 C13 C14 C26,C0805,
10u,COUTX,C0603,C19702
20,R25 R26,R0805,
20p,C8 C9 C10 C11,C0805,
22u,C18 C19,C1206,C5672
32 768kHz,Q1,3.2X1.5,C32346
47u,CIN COUT,C1206,C96123
60,R32,R0805,
100,R14 R22 R23 R24 R30 R31,R0805,
100k,R4 R11 RFBB RPGOOD,R0805,
100n,CAUX,C0402,C1525
100n,C1 C2 C12 C15,C0805,
100u,C4,E2 5-6E,
220,R1 R5,R0805,C17802
220k,R16,R0805,
317EMP,IC2,SOT223,C6186
330k,R20,R0805,
470k,R21,R0805,
523k,RFBT,R0805,
680,R7,R0805,
61729-1011,USB-B,61729-1011BLF,
?,TRIMMER,RTRIM3339P,
AL11P,BUZZER,AL11P,
BSS84,Q3,SOT23,
BSS123,Q2,SOT23,C20917
MOMENTARY-SWITCH-SPST-PTH-12MM,LEFT RIGHT SELECT,TACTILE_SWITCH_PTH_12MM,
PJ324M,AUDIO_JACK,WENZHOU_PJ324M,
STM32F103C8T6,STM32,QFP50P900X900X160-48N,C8734
TP4054-42-SOT25-R,BATTERYCHARGER,SOT95P280X100-5N,C32574
TPB1 27,+3V3 +5V GND SIGNAL_IN SIGNAL_OPAMP VBAT VBUS,B1 27,
TPS63070RNMR,U1,VREG_TPS63070RNMR,C109322
